,oem,version,segment,size,mass_in_running_order(kg),distance_between_axles,area(m²),conpet_novo,fuel_type,engine_type,direct_injection,displacement(cm³),power(cv),transmission_type,cylinder_number,turbo,ebd_(abs),traction_control,lane_change_blink,front_airbags,emergency_lightning,electronic_stability_control,blind_spot_monitoring,fatigue_detection,collision_mitigation_braking_system,forward_collision_warning,lane_departure,lane_keep_assist,adaptive_high_beam,cruise_control,adaptive_cruise_control,buckle_unlock_indicator_(passenger),buckle_unlock_indicator_(pilot),tpms,stop/start,gear_change_indicator,led_daytime_running_lights,led_backlight,hidraulic_steering,electric_steering,air_conditioning,automatic_air_conditioning,reverse_camera,auxiliary_parking_with_guides,rear_parking_sensors,front_and_rear_parking_sensors,parking_assistant,jam_assist,bluetooth_with_wireless_charging,hill_assist,downhill_assist,keyless_entry,start-stop_button,color_liquid_crystal_display_on_the_panel,entire_digital_and_configurable_cluster,audio_system_(as),display_audio_(da),android_auto,carplay_(apple),embedded_navigation_(nav),total_itens,prices
149,BMW,BMW/320I ACTIVE FLEX,SEDAN,LARGE,1495.0,2810.0,8.390363,2.05,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,18,206073.605
150,BMW,BMW/320I ACTIVE FLEX,SEDAN,LARGE,1495.0,2810.0,8.390363,2.0,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,20,195958.54
151,BMW,BMW/320I ACTIVE FLEX,SEDAN,LARGE,1495.0,2810.0,8.390363,2.0,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,21,202594.23
152,BMW,BMW/320I ACTIVE FLEX,SEDAN,LARGE,1495.0,2810.0,8.390363,2.0,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,21,181302.66
153,BMW,BMW/320I ACTIVE FLEX,SEDAN,LARGE,1495.0,2810.0,8.390363,2.05,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,33,227340.32
154,BMW,BMW/320I ACTIVE FLEX,SEDAN,LARGE,1495.0,2810.0,8.390363,2.05,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,30,201946.07
155,BMW,BMW/320I ACTIVE FLEX,SEDAN,LARGE,1470.0,2851.0,8.603343,1.86,FLEX,COMBUSTION,1,2.0,184.0,AUTOMATIC,4,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,33,247148.5
156,BMW,BMW/328I ACTIVE FLEX,SEDAN,LARGE,1535.0,2810.0,8.390363,2.06,FLEX,COMBUSTION,1,2.0,245.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,21,293238.205
157,BMW,BMW/328I ACTIVE FLEX,SEDAN,LARGE,1535.0,2810.0,8.390363,2.06,FLEX,COMBUSTION,1,2.0,245.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,22,277447.34
158,BMW,BMW/328I ACTIVE FLEX,SEDAN,LARGE,1535.0,2810.0,8.390363,2.06,FLEX,COMBUSTION,1,2.0,245.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,22,284749.23
159,BMW,BMW/328I ACTIVE FLEX,SEDAN,LARGE,1535.0,2810.0,8.390363,2.06,FLEX,COMBUSTION,1,2.0,245.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,26,277314.66
